Date,Year-Month,Final Product Category,Review,spam_label,spam_confidence,detected_lang,is_english,has_justification,review_weight
01/01/2024,01/01/2024,Gas Products,If I could give this company 0 stars I would. The service we have received is absolutely disgusting. I’ve rang 6/7 times today chasing an engineer to come out and fix our boiler. For the last three days now we’ve had no heating or hot water. They told us they have referred our job to the manufacturer which is a load of crap. I rang the manufacture and they have no record of the job! Absolutely disgusting customer service. Payed a call outout fee of £45 and the engineer didn’t even take the boiler apart. He just looked at it. Don’t go with these cowboys.,LABEL_0,0.924,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"Please read this review before placing your trust in this business. It would take me a week to detail all the areas where 247 let us down and behave in a manner which is beyond dodgy! Just a few are: 1. Abusing our personal details to repeatedly call, when you have expressly told them not to on several occasions. 2. Sending a racist engineer who told us ‘he only works for P****** because they pay him £15k a year more than his previous employer3. Supplying official paperwork telling us we needed essential safety work (not covered by our policy of course) despite never having carried out the necessary observation/ assessment of the area concerned. 4. Making critical errors in paperwork. Our boiler was serviced on 17/11/23; the date given for the next service required? 17/11/23. 5. Offering to quote for unnecessary work, which was described as a safety issue. 6. Their engineers will warn you that despite writing ‘customer not interested in new boiler’ you will get a call trying to sell you one, because that’s all they’re interested in. Taking your money! 7. Offering 3 months compensation for their poor service and engineer’s behaviour, then when you reiterate you want your contact details removed from their records, they cancel your policy completely, 3 months early, leaving you completely without cover over the winter. If you are considering this company for your boiler cover, be warned. Their customer service agents are ‘not allowed’ to escalate complaints to the managers. Apparently when their engineers tell you ‘they are all greedy (racist term!) who are only interested in taking your money’, they may indeed be speaking from experience.",LABEL_0,0.773,en,True,True,1.0
02/01/2024,01/01/2024,Unknown,Professional and friendly engineer would recommend.,LABEL_0,0.935,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Happy with the service so far,LABEL_0,0.936,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Excellent service,LABEL_0,0.837,ca,False,False,0.45
02/01/2024,01/01/2024,Gas Products,Very polite and walked me through everything he carried out and explained aspects about the boiler I should know,LABEL_0,0.938,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"Excellent service, polite, knowledgeable engineer. Was on time and did his job well.Would always recommend 247 home rescue.",LABEL_0,0.933,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Easy sign up process and good customer service. Excellent prices and good cover,LABEL_0,0.903,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Easy to use website,LABEL_0,0.895,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,"Great sign up process, hopefully the service is as good moving forwards",LABEL_0,0.93,en,True,True,1.0
02/01/2024,01/01/2024,Gas Products,Engineer contacted me before callPolite and friendly Covered his boots before entering my homeCompleted Service and asked if I was having any issues Thank you,LABEL_0,0.935,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Very easy to sign up,LABEL_0,0.938,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Very easy and straightforward to obtain a new policy online.,LABEL_0,0.922,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"The engineer Jamie arrived at my address on time, was very cheerfully and experienced in what he was doing. Gave me some great energy advise and was very respectful towards my property. Top job thankyou.",LABEL_0,0.937,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Easy to sign up,LABEL_0,0.938,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,No issues so far,LABEL_0,0.937,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,It was an easy to use website with prices clearly labellef,LABEL_0,0.922,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Booked cover on phone sales executive was very polite,LABEL_0,0.914,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"Don't know about you, but mine's often dim so I don't get to predict the future much. However, when it comes to the central heating boiler I know what could happen in the future if it isn't given a little TLC, which means an annual check at least. Here's where the people at 24/7 home rescue come into their own. For not a lot of wonga they provide the necessary, which doesn't have to include the entire heating system, but does cover everything boiler.  Fortunately I have the tools and experience to cope with the rest, so I only need the boiler taking care of with the afore mentioned TLC. Once found their website is easy to navigate and the form filling's a breeze, checkout's not at all complicated, and did I mention it's affordable ?All necessary documentation arrives via email PDF so no snail mail, and if like me you like to have a hard copy to hand it's done and dusted in minutes.Talking of which I need to go and give my crystal ball a polish.",LABEL_0,0.928,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Polite and arrived within given time frameWas happy to answer questions,LABEL_0,0.932,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"Extremely disappointed! Very poor service. My boiler had issue on the 30th December 23. The engineer was quick to arrive but after spending 1 hour the engineer couldn't find out what was wrong with the boiler.  In the end he gave up and said he needs to order a new front panel which he will do today and will be back either same day or Wednesday 3rd January 24. I was very understanding as I know its holidays etc so I will have to survive with no heating and no hot water for next few days. Received call today on the 2nd January 24 and I was told they ordered the part today and it now now be delivered and fixed on the 9th. I am family of 4 with 2 young kids. One child is under 3 years. We have been left to die in this cold weather with no heating or hot water. We all are ill due to cold weather and using cold water. 4 days no one had a shower.i have been left with extreme disappointment as I paid the highest amount per month to this company from day 1. Never missed a payment and in return what I get? Lies, delays and no positive response or help.Would really like a manger to call me to resolve this issue ASAP otherwise I will take my complaint further to OMBUDSMAN.  If not resolvedLooking forward to quick response.",LABEL_0,0.933,en,True,True,1.0
02/01/2024,01/01/2024,Unknown,Took out a new plan. All good.,LABEL_0,0.938,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Quick and easy to put in place,LABEL_0,0.938,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,The engineer was good and did the work well,LABEL_0,0.937,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,He is helpful,LABEL_0,0.936,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,"Polite, friendly engineer",LABEL_0,0.935,en,True,False,0.9
02/01/2024,01/01/2024,Unknown,Customer service team member was very helpful with regards to the policy I was looking for and I set it up with a minimum of fuss .,LABEL_0,0.934,en,True,False,0.9
03/01/2024,01/01/2024,Plumbing & Drains,"This company is a poor excuse for ""home rescue"" services. Have monthly cover with them and on 2 occasions we've called due to a leak from our upstairs water tank, water pouring through the ceiling downstairs for them to tell us they can get someone out tomorrow. I fail to see how this company is 24/7!! Absolutely useless, don't waste your money, use a company that will genuinely provide 24/7 help! And to top that of, said water tank had just been serviced with themselves a couple of weeks prior, we asked for several things to be checked as had noticed some unusual changes, but was told it's all working perfectly, would seem this was incorrect now we have a flood as now we have a flood due to these changes we asked to be looked at!",LABEL_0,0.931,en,True,True,1.0
03/01/2024,01/01/2024,Unknown,Great service,LABEL_0,0.898,en,True,False,0.9
03/01/2024,01/01/2024,Gas Products,Ben fixed the boiler problem very quickly and he was very pleasant to deal with.,LABEL_0,0.938,en,True,False,0.9
03/01/2024,01/01/2024,Gas Products,Very friendly engineer and told me what was wrong and fixed it for me,LABEL_0,0.938,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,He was polite and efficient,LABEL_0,0.937,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,Mark was polite efficient and helpful and has made a professional workThanks,LABEL_0,0.931,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,Friendly and polite.  Happy with service.,LABEL_0,0.936,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,Friendly and helpful engineer,LABEL_0,0.933,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,"Great service from the team and engineer very polite, helpful and tidy!",LABEL_0,0.933,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,"very nice guy, got the job done in the morning, very quickly and efficiently",LABEL_0,0.937,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,Engineer was great,LABEL_0,0.928,en,True,False,0.9
03/01/2024,01/01/2024,Gas Products,After searching home care insurances 24/7 were not only the cheapest but they are the best too. Easy to contact. Excellent communications throughout. Brilliant service and follow up. Highly recommended Would definitely use again,LABEL_0,0.893,en,True,False,0.9
03/01/2024,01/01/2024,Unknown,Excellent service,LABEL_0,0.837,ca,False,False,0.45
03/01/2024,01/01/2024,Unknown,"Easy process, clear information and value for money.",LABEL_0,0.935,en,True,False,0.9
